cycle_number,capacity_ah,resistance_ohm,temperature_c
1,1.855,0.06516,31.77
2,1.8432,0.06516,31.92
3,1.8396,0.0632,31.32
4,1.83067,0.0632,30.82
5,1.8327,0.0627,31.95
6,1.82853,0.0627,32.02
7,1.8212,0.06261,31.63
8,1.81517,0.06261,31.29
9,1.8043,0.06138,31.11
10,1.8231,0.06138,31.13
11,1.81213,0.062,31.51
12,1.80469,0.062,31.31
13,1.79084,0.06134,30.89
14,1.78347,0.06134,30.54
15,1.78094,0.06143,30.83
16,1.77121,0.06143,31.45
17,1.76863,0.06246,31.52
18,1.75363,0.06246,31.11
19,1.74622,0.05911,30.59
20,1.73766,0.05911,30.24
21,1.73152,0.06105,30.1
22,1.70859,0.06105,30.25
23,1.71147,0.06101,30.21
24,1.7075,0.06101,30.13
25,1.74924,0.06065,30.22
26,1.73277,0.06065,30.98
27,1.72223,0.06219,31.42
28,1.71185,0.06219,31.38
29,1.69927,0.06106,31.17
30,1.69404,0.06106,30.99
31,1.6819,0.0596,31.06
32,1.67698,0.0596,31.37
33,1.66552,0.06287,31.56
34,1.65719,0.06287,31.32
35,1.64822,0.06095,31.1
36,1.63877,0.06095,30.99
37,1.62765,0.06279,30.97
38,1.62215,0.06279,31.29
39,1.61401,0.06205,31.41
40,1.67605,0.06205,30.76
41,1.6493,0.06127,30.98
42,1.63238,0.06127,30.8
43,1.61642,0.06271,30.62
44,1.6109,0.06271,30.4
45,1.59546,0.06023,30.38
46,1.72671,0.06023,30.58
47,1.71657,0.0618,30.71
48,1.69582,0.0618,30.63
49,1.67778,0.06336,30.6
50,1.66066,0.06336,30.53
51,1.66641,0.06255,31.2
52,1.64683,0.06255,31.17
53,1.62576,0.06088,30.97
54,1.61216,0.06088,30.82
55,1.60574,0.06232,30.77
56,1.67365,0.06232,30.81
57,1.64043,0.06191,31.04
58,1.61327,0.06191,31.04
59,1.5921,0.06329,30.96
60,1.5866,0.06329,30.84
61,1.58008,0.06244,30.8
62,1.56417,0.06244,30.98
63,1.55562,0.06272,30.97
64,1.5402,0.06272,30.98
65,1.53216,0.0632,30.9
66,1.53162,0.0632,30.82
67,1.52226,0.06333,30.73
68,1.50653,0.06333,30.77
69,1.50142,0.06438,30.78
70,1.49635,0.06438,30.76
71,1.53343,0.06323,30.91
72,1.52385,0.06323,31.23
73,1.50119,0.06276,31.26
74,1.49242,0.06276,31.18
75,1.48332,0.06306,31.0
76,1.48074,0.06306,30.98
77,1.47351,0.06543,31.09
78,1.46802,0.06543,31.34
79,1.45809,0.06404,31.23
80,1.44787,0.06404,31.04
81,1.45278,0.06432,30.81
82,1.44254,0.06432,30.93
83,1.43927,0.06546,31.22
84,1.42865,0.06546,31.4
85,1.4249,0.06545,31.26
86,1.46981,0.06545,31.13
87,1.45258,0.06606,31.25
88,1.44283,0.06606,31.03
89,1.42838,0.06551,30.93
90,1.41545,0.06551,30.67
91,1.45458,0.06602,31.23
92,1.42832,0.06602,31.39
93,1.4197,0.06529,31.51
94,1.41556,0.06529,31.55
95,1.40568,0.06297,31.39
96,1.40845,0.06297,31.39
97,1.39685,0.06517,31.42
98,1.39357,0.06517,31.44
99,1.38936,0.06374,31.54
100,1.37857,0.06374,31.53
101,1.3849,0.06522,31.44
102,1.37033,0.06522,31.48
103,1.37335,0.0659,31.58
104,1.36795,0.0659,31.65
105,1.35671,0.06607,31.66
106,1.46043,0.06607,30.43
107,1.4501,0.06607,31.02
108,1.43814,0.06607,31.39
109,1.42837,0.06607,31.25
110,1.41479,0.06607,31.05
111,1.41389,0.06607,30.89
112,1.39893,0.06607,31.05
113,1.39533,0.06607,31.49
114,1.39005,0.06607,31.94
115,1.38603,0.06607,31.75
116,1.38822,0.06607,31.31
117,1.37618,0.06607,31.13
118,1.36472,0.06607,30.99
119,1.35899,0.06607,30.9
120,1.34623,0.06607,30.71
121,1.42684,0.06607,30.47
122,1.40645,0.06607,30.94
123,1.39349,0.06607,31.11
124,1.38825,0.06607,31.04
125,1.37019,0.06607,30.97
126,1.3797,0.06607,30.94
127,1.36866,0.06607,31.3
128,1.36274,0.06607,31.82
129,1.36341,0.06607,32.0
130,1.35186,0.06607,31.74
131,1.3548,0.06607,31.53
132,1.34105,0.06607,31.28
