cycle_number,capacity_ah,resistance_ohm,temperature_c
1,2.03534,0.06123,32.14
2,2.02514,0.06562,32.29
3,2.01333,0.06063,32.24
4,2.01328,0.06263,32.15
5,2.00053,0.06086,32.07
6,2.0139,0.06225,32.03
7,2.0131,0.06006,32.11
8,1.96879,0.0622,32.11
9,1.96817,0.05913,32.04
10,1.95723,0.06207,32.0
11,1.9456,0.0606,31.87
12,1.93475,0.06201,32.12
13,1.92328,0.06044,32.11
14,1.91189,0.06252,31.99
15,1.90107,0.05988,31.88
16,1.8892,0.06095,31.77
17,1.87828,0.06059,31.79
18,1.86757,0.06237,31.83
19,1.86759,0.06091,31.89
20,1.97963,0.06239,31.51
21,1.95755,0.06037,31.87
22,1.94582,0.06209,31.54
23,1.92425,0.06357,31.22
24,1.94598,0.06232,31.12
25,1.90141,0.06294,31.03
26,1.87867,0.06189,31.0
27,1.86831,0.06287,30.92
28,1.85602,0.06172,30.93
29,1.8452,0.06292,31.01
30,1.85723,0.062,30.97
31,1.92478,0.06308,31.1
32,1.88223,0.0625,31.31
33,1.85528,0.0628,31.13
34,1.83925,0.06201,30.83
35,1.81854,0.06308,30.76
36,1.81348,0.06183,31.3
37,1.7971,0.06313,31.06
38,1.781,0.06283,30.97
39,1.77101,0.06336,30.83
40,1.76047,0.0635,31.08
41,1.75029,0.06264,31.69
42,1.73949,0.06095,31.88
43,1.75468,0.06395,31.54
44,1.76594,0.06392,31.42
45,1.73379,0.06191,31.16
46,1.71333,0.06224,31.16
47,1.70241,0.06369,31.21
48,1.82372,0.06203,33.61
49,1.80813,0.06394,32.86
50,1.77576,0.06251,32.21
51,1.74474,0.06334,31.97
52,1.72921,0.06262,31.74
53,1.70811,0.06599,31.88
54,1.6976,0.06457,32.24
55,1.68206,0.06584,32.07
56,1.67148,0.06369,32.03
57,1.66076,0.06586,31.98
58,1.65112,0.06291,32.24
59,1.64013,0.06445,32.56
60,1.6292,0.06367,32.49
61,1.60885,0.0645,32.43
62,1.60352,0.06455,32.3
63,1.59897,0.06462,32.61
64,1.58763,0.06442,32.26
65,1.58297,0.06536,32.47
66,1.56714,0.06517,32.4
67,1.56134,0.06574,32.31
68,1.55117,0.0636,32.35
69,1.54067,0.0657,32.47
70,1.52531,0.06529,32.52
71,1.53016,0.06609,32.52
72,1.52466,0.06653,32.54
73,1.51455,0.06739,32.56
74,1.50939,0.06634,32.59
75,1.504,0.06715,32.57
76,1.49352,0.06591,32.54
77,1.48763,0.06656,32.66
78,1.53029,0.06606,33.18
79,1.50408,0.06683,32.71
80,1.48876,0.0659,32.54
81,1.47828,0.06712,32.67
82,1.47846,0.06791,33.16
83,1.47321,0.06805,33.41
84,1.46752,0.06674,33.35
85,1.45163,0.06787,33.14
86,1.45192,0.06641,32.92
87,1.44715,0.06842,33.2
88,1.44685,0.06687,33.53
89,1.44167,0.06826,33.58
90,1.59359,0.06756,33.22
91,1.54639,0.06775,33.37
92,1.51471,0.06768,33.43
93,1.49898,0.06861,33.29
94,1.48311,0.06797,33.14
95,1.47297,0.06857,33.11
96,1.46276,0.06833,33.19
97,1.45184,0.06838,33.26
98,1.44687,0.06885,33.3
99,1.44138,0.06936,33.32
100,1.43121,0.06907,33.39
101,1.42602,0.06981,33.42
102,1.42049,0.06871,33.4
103,1.4207,0.06973,33.74
104,1.45226,0.06953,34.09
105,1.43156,0.06923,34.0
106,1.41502,0.06825,33.91
107,1.40973,0.06892,33.71
108,1.40492,0.0696,33.75
109,1.39516,0.07058,34.02
110,1.39453,0.06944,34.18
111,1.38932,0.06984,33.98
112,1.38384,0.06924,33.84
113,1.37368,0.0699,34.1
114,1.37861,0.07018,34.35
115,1.37376,0.07074,34.22
116,1.36826,0.07032,34.04
117,1.3633,0.07084,33.89
118,1.3581,0.06931,34.12
119,1.35327,0.07178,34.49
120,1.38416,0.07066,34.24
121,1.40515,0.07091,34.41
122,1.37872,0.07049,34.16
123,1.36827,0.07018,33.88
124,1.35732,0.07125,33.84
125,1.35249,0.07187,33.82
126,1.34741,0.07291,33.81
127,1.33701,0.07182,33.8
128,1.33124,0.07251,33.7
129,1.32593,0.07177,33.64
130,1.32158,0.07089,33.69
131,1.32123,0.07037,33.71
132,1.31565,0.07141,33.65
133,1.3209,0.07075,33.98
134,1.34743,0.07083,33.82
135,1.32601,0.0703,33.61
136,1.31012,0.07118,33.47
137,1.30522,0.07157,33.21
138,1.30041,0.07132,33.58
139,1.30024,0.07235,33.76
140,1.28951,0.07083,33.57
141,1.27925,0.07034,33.27
142,1.27921,0.0713,33.13
143,1.27404,0.07148,33.44
144,1.27413,0.07153,33.48
145,1.26376,0.07178,33.22
146,1.25814,0.0721,32.99
147,1.25326,0.07218,32.97
148,1.25323,0.07254,33.31
149,1.24809,0.07276,33.23
150,1.25344,0.07242,33.12
151,1.2898,0.07161,33.78
152,1.26354,0.07177,33.81
153,1.24798,0.07236,33.64
154,1.23212,0.07197,33.58
155,1.22711,0.07217,33.56
156,1.22174,0.07218,33.51
157,1.2111,0.07328,33.54
158,1.20562,0.07255,33.5
159,1.20089,0.0728,33.52
160,1.19059,0.07374,33.53
161,1.18518,0.07231,33.57
162,1.17967,0.07351,33.6
163,1.1746,0.07315,33.54
164,1.15382,0.07363,33.47
165,1.1644,0.07259,33.58
166,1.1588,0.07484,33.66
167,1.17497,0.07231,33.73
168,1.18568,0.07453,33.89
