checkpoint_index,checkpoint_label,capacity_ah,soh_pct
0,BoL,3.161651512338,100.0
1,BoL,2.9619301276680003,93.68300447121992
2,RPT1,3.098890250332,98.01492157623694
3,RPT2,3.045434782093,96.32417646943449
4,RPT3,2.992285185609,94.64310579239785
5,RPT4,2.946629721184,93.19906731292487
6,RPT5,2.903993704382,91.85053106104458
7,RPT6,2.852802820376,90.23141257799124
8,RPT7,2.814334919424,89.01470982622105
9,RPT8,2.778305786136,87.87514295278795
10,RPT9,2.743312788332,86.7683480493192
11,RPT10,2.711509042242,85.76242611371406
12,RPT11,2.677658382289,84.69176225905134
13,RPT12,2.650677014827,83.8383675266873
