checkpoint_index,checkpoint_label,capacity_ah,soh_pct
0,BoL,3.1286161660859997,100.0
1,BoL,2.931830460823,93.71013589342968
2,RPT1,3.076220879005,98.32528874430295
3,RPT2,3.043149930063,97.26824156477078
4,RPT3,3.009179111247,96.18243183252424
5,RPT4,2.983047015166,95.34717129899283
6,RPT5,2.951706184566,94.34542391496622
7,RPT6,2.91997693726,93.33126156261558
8,RPT7,2.900890227444,92.72119280368956
9,RPT8,2.869265010215,91.71035556606944
10,RPT9,2.840920457262,90.80437824420257
11,RPT10,2.805526315031,89.67307480677006
12,RPT11,2.782567542789,88.9392432651808
13,RPT12,2.759644677992,88.20655943373217
