checkpoint_index,checkpoint_label,capacity_ah,soh_pct
0,BoL,3.164007143765277,100.0
1,BoL,2.963981741732,93.67809891240512
2,RPT1,3.1015702847510003,98.0266524006651
3,RPT2,3.053471906445,96.50647952745341
4,RPT3,3.004635816315,94.9629909096659
5,RPT4,2.962395113298,93.62795274136609
6,RPT5,2.917783101481,92.21796819360965
7,RPT6,2.874168779193,90.83951611350159
8,RPT7,2.837305127455,89.67442229218578
9,RPT8,3.26187353577,103.0931153931675
10,RPT9,2.765364623229,87.40070731756065
11,RPT10,2.737502480863,86.52011062166183
12,RPT11,2.70863227707,85.60765364918345
13,RPT12,2.682309880217,84.77572136657565
