cycle_number,capacity_ah,soh_pct,resistance_ohm,temperature_c
1,1.0938644,100.0,0.0,0.0
2,1.0951102,100.11388980206321,0.016311171,32.15133933047618
3,1.0959545,100.19107487180312,0.016267659,32.154142691605934
4,1.0964732,100.23849391204247,0.016234038,32.184462498578235
5,1.0969613,100.28311553059046,0.016207566,32.17832293533272
6,1.0972881,100.31299126290243,0.016186342,32.18110285393263
7,1.0974655,100.32920899519173,0.016185727,32.20180233365018
8,1.0974988,100.33225324820884,0.016183667,32.202142379151276
9,1.097587,100.34031640484872,0.016174823,32.198729864232156
10,1.0978453,100.3639299350084,0.016181435,32.16927481238446
11,1.0978042,100.36017261371701,0.016166329,32.11999735661765
12,1.0941756,100.02844959576342,0.016170638,32.09699984372089
13,1.0950853,100.1116134687261,0.0,32.016858382681605
14,1.0960648,100.20115838855345,0.016195418,32.12082573929239
15,1.0964152,100.23319160949018,0.016175466,32.038081278782116
16,1.0967561,100.26435634983642,0.01620451,31.89247303755873
17,1.0971587,100.30116164307022,0.016165493,31.869355071225026
18,1.0973228,100.31616350253285,0.016173907,31.872840015784572
19,1.0948926,100.09399702559112,0.016169533,31.922362670697634
20,1.097546,100.3365682254583,0.0161871,31.860034785447738
21,1.0962675,100.2196890217837,0.016154226,31.919444159090904
22,1.0975857,100.34019756013635,0.016182942,31.90447509550565
23,1.09762,100.34333323216298,0.016180398,31.94284026465023
24,1.0977654,100.35662555614752,0.016185729,31.903475277097062
25,1.0977191,100.35239285600666,0.016162112,31.925784558380347
26,1.0977793,100.35789628037992,0.016181491,31.952051725746188
27,1.0979686,100.37520189888254,0.016163867,31.938792443526243
28,1.0978606,100.3653286458541,0.016187832,31.96452439868042
29,1.0979047,100.36936022417405,0.016178556,31.95607123199257
30,1.0976418,100.34532616657054,0.016188329,31.94025188090735
31,1.0977647,100.35656156284088,0.016182024,31.879010880665998
32,1.0977504,100.35525427100471,0.016201647,31.894585546132344
33,1.0977732,100.35733862442183,0.016200146,31.912837875706227
34,1.0976112,100.34252874487916,0.016182633,31.89849635004728
35,1.0976315,100.34438455077247,0.016210677,31.893003163361637
36,1.0976473,100.34582897112294,0.016198218,31.89688058936761
37,1.0976092,100.3423459068601,0.016186124,31.931248065298533
38,1.0975884,100.34044439146206,0.016194558,31.853741893715334
39,1.0974603,100.32873361634222,0.0161935,31.877933565217457
40,1.0974673,100.32937354940887,0.016211789,32.00456700093906
41,1.0975211,100.3342918921212,0.016221816,31.948692868224295
42,1.0974762,100.33018717859363,0.016221907,31.96984283788884
43,1.0975101,100.33328628301643,0.016213167,31.829572527566512
