cycle_number,capacity_ah,soh_pct,resistance_ohm,temperature_c
1,1.0798637,100.0,0.0,
2,1.0811634,100.12035778219048,0.016072329,33.42959630149826
3,1.0818657,100.18539376775051,0.016041212,33.433438399631626
4,1.0821818,100.2146659805307,0.016004801,33.44603925566629
5,1.0825673,100.25036493031483,0.015999669,33.40050973041893
6,1.0828056,100.27243253014247,0.015987275,33.39739054319851
7,1.0831146,100.30104725253753,0.015958164,33.47140986445237
8,1.0831774,100.30686280129612,0.015954526,33.461243993464024
9,1.0833608,100.32384642617396,0.015950587,33.477010112546104
10,1.08348,100.33488485630177,0.015945569,33.465422784867826
11,1.0834858,100.33542196112344,0.015925193,33.484271020739406
12,1.0834947,100.33624613921181,0.015922217,33.53538818709676
13,1.0835716,100.34336740831273,0.01592602,33.53895682628677
14,1.0835986,100.34586772386183,0.015928252,33.49824420289854
15,1.0836222,100.34805318486026,0.015944663,33.411309925093654
16,1.0836917,100.35448918229217,0.015936133,33.359075882244746
17,1.0837103,100.35621162189265,0.015943715,33.38002051827552
18,1.0836622,100.35175735604412,0.015925834,33.40254118894006
19,1.0837077,100.35597085076571,0.015942324,33.30405536118849
20,1.0838182,100.36620362366102,0.015934965,33.35088047830194
21,1.0837473,100.35963798023768,0.015929023,33.34048640493596
22,1.0836567,100.35124803250632,0.015943462,33.41395829732224
23,1.0836648,100.35199812717106,0.015941456,33.34084912442399
24,1.083645,100.35016456243507,0.015942473,33.443488126593955
25,1.0824287,100.23752997716284,0.015959136,33.504517099907545
26,1.0836473,100.35037755227813,0.015951941,33.47908957429346
27,1.0836612,100.35166475176452,0.015955843,33.428596808823556
28,1.0836823,100.35361870206398,0.015968291,33.3694377914339
29,1.0836746,100.35290564911108,0.015948966,33.43937182222223
30,1.0835971,100.34572881744242,0.015949646,33.457862506861865
31,1.0823866,100.23363133699188,0.015956594,33.49514594874179
32,1.0835627,100.34254323022434,0.015959945,33.48936491914499
33,1.0836023,100.34621035969631,0.015966417,33.479578153917934
34,1.0835922,100.34527505647242,0.015970279,33.45077947431194
35,1.0835865,100.34474721207872,0.015976751,33.519794515977445
36,1.083638,100.3495163324779,0.015967045,33.54383583241762
37,1.0836222,100.34805318486026,0.015964117,33.543473079889836
38,1.0835924,100.3452935773283,0.015963467,33.55816215046727
39,1.0836127,100.34717344420412,0.01596396,33.562560058106975
40,1.0835611,100.34239506337698,0.015972529,33.57489346244345
41,1.0834897,100.33578311781383,0.015965613,33.57169653053777
42,1.0834938,100.3361627953602,0.015978487,33.5972325377446
43,1.0834311,100.33035650702955,0.015983749,33.594107857274466
44,1.0834029,100.32774506634496,0.016009904,33.40228374128444
45,1.0834157,100.32893040112376,0.015997866,33.41034664852398
46,1.0833813,100.32574481390569,0.016000265,33.40479340515649
47,1.083321,100.32016077584606,0.015988722,33.43431875318758
48,1.0833343,100.32139241276468,0.016003853,33.355410918791335
49,1.0832798,100.31634547952673,0.016008781,33.45935289245283
50,1.0832438,100.31301172546128,0.015999014,33.495093095106114
51,1.0834047,100.32791175404823,0.016008638,33.51955961731841
52,1.0835785,100.34400637784195,0.01597877,33.844139630897246
53,1.0837048,100.35570229835488,0.015923807,34.11745952077556
54,1.0837386,100.35883232300522,0.015870003,34.30305860054588
55,1.0837905,100.36363848511623,0.015852319,34.313850718139626
56,1.0832055,100.30946498155278,0.015838005,34.16980208918925
57,1.083033,100.2934907433225,0.015955377,33.62023547448014
58,1.082983,100.28886052934274,0.016017744,33.57251867033974
59,1.082956,100.28636021379364,0.016030338,33.47449430855021
60,1.0828599,100.27746094252453,0.016035644,33.53418803885297
61,1.0828736,100.27872962115498,0.016031697,33.57407282865177
62,1.0828307,100.27475689756031,0.016031759,33.54430818852472
63,1.0828017,100.27207137345204,0.016037297,33.542422393278805
64,1.0828334,100.27500692911522,0.016032875,33.61626004417298
65,1.0827416,100.26650585624834,0.016036961,33.58155708687443
66,1.0815226,100.15362123942124,0.016027123,33.639456397930346
67,1.0826602,100.25896786788925,0.016040115,33.55059940224512
68,1.0826311,100.25627308335301,0.016037822,33.582443635261264
69,1.0825266,100.24659593613528,0.016044304,33.589657655722334
70,1.0825044,100.24454012112824,0.01604736,33.59993130868771
71,1.0825244,100.24639220672016,0.016059451,33.49616018490561
72,1.0824634,100.24074334566481,0.016047368,33.56119445318344
73,1.0824057,100.23540007873217,0.01605735,33.53565181920906
74,1.0823795,100.23297384660677,0.01605607,33.5264007548033
75,1.0823262,100.22803803850431,0.016063685,33.504595673130225
76,1.0822892,100.22461168015926,0.016067995,33.47473061325967
77,1.0822424,100.2202777998742,0.01607112,33.49201942763151
78,1.0822412,100.22016667473868,0.016070439,33.47585471640411
79,1.08219,100.21542533562338,0.016072504,33.5025083348838
80,1.0821713,100.21369363559494,0.016077116,33.487480774401575
81,1.0821303,100.20989686013151,0.016080379,33.49720698698888
82,1.0820614,100.20351642526737,0.016078088,33.51565886392693
